,Average User Rating,User Rating Count,Price,Developer,Age Rating,Languages,Size,Primary Genre,Genres,game_age
99,3.5,67670.0,0.99,3.375,4,7.232519398050206,7703552,4.034268849726357,75.35168176460985,2973
100,2.5,634.0,0.0,2.5,4,139.4802676331825,3396500,4.034268849726357,88.48240878655064,736
101,3.0,282.0,2.99,3.0,4,7.232519398050206,4225024,4.034268849726357,75.5861924569405,3120
102,3.5,93235.0,0.99,3.5,4,7.232519398050206,259371008,4.034268849726357,124.64153943461565,3134
103,4.0,569.0,2.99,4.25,4,113.60959192048199,23805952,4.034268849726357,121.66824415419111,3285
104,3.5,127.0,2.99,3.25,4,33.9708066710437,3684352,4.034268849726357,118.43837124168752,3082
105,4.0,193923.0,0.0,4.166666666666667,4,60.313681775517566,233482240,4.034268849726357,124.40702874228501,3028
106,4.0,42389.0,2.99,4.25,9,20.569957945514595,56048640,4.034268849726357,75.5861924569405,3207
107,3.5,207.0,3.99,3.5,4,7.232519398050206,23740416,4.034268849726357,121.66824415419111,2340
108,3.0,16554.0,0.0,3.0,4,7.232519398050206,6338617,4.034268849726357,124.64153943461565,1029
109,3.0,6906.0,0.0,2.75,12,7.232519398050206,12120793,4.034268849726357,137.5377557642258,1154
110,3.0,9.0,1.99,4.0,4,20.569957945514595,20501504,4.034268849726357,121.66824415419111,2696
111,3.5,2110.0,0.0,3.5,4,7.232519398050206,76698624,4.034268849726357,121.66824415419111,2559
